Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-11,02,,30 °C,—,27 °C,0 mm,—,,11 km/h,—,1010 hPa,84 %
2024-05-11,03,,30 °C,—,26 °C,0 mm,—,,11 km/h,—,1009 hPa,79 %
2024-05-11,04,,30 °C,—,26 °C,0 mm,—,,17 km/h,—,1010 hPa,79 %
2024-05-11,05,,30 °C,—,26 °C,0 mm,—,,15 km/h,—,1011 hPa,79 %
2024-05-11,06,,30 °C,—,26 °C,0 mm,—,,9 km/h,—,1011 hPa,79 %
2024-05-11,07,,30 °C,—,26 °C,0 mm,—,,9 km/h,—,1012 hPa,79 %
2024-05-11,08,,33 °C,—,23.1 °C,0 mm,—,,17 km/h,—,1012 hPa,56 %
2024-05-11,09,,34 °C,—,23.1 °C,0 mm,—,,13 km/h,—,1012 hPa,53 %
2024-05-11,10,,35 °C,—,22 °C,0 mm,—,,9 km/h,—,1012 hPa,47 %
2024-05-11,11,,36 °C,—,21.8 °C,0 mm,—,,15 km/h,—,1011 hPa,44 %
2024-05-11,12,,36 °C,—,21.8 °C,3 mm,—,,11 km/h,—,1011 hPa,44 %
2024-05-11,13,,37 °C,—,22 °C,1.2 mm,—,,9 km/h,—,1009 hPa,42 %
2024-05-11,14,,36 °C,—,23.9 °C,0 mm,—,,17 km/h,—,1008 hPa,50 %
2024-05-11,15,,36 °C,—,22.9 °C,4.2 mm,—,,19 km/h,—,1008 hPa,47 %
2024-05-11,16,,33 °C,—,25 °C,0.5 mm,—,,11 km/h,—,1007 hPa,63 %
2024-05-11,17,,31 °C,—,25.1 °C,1.9 mm,—,,11 km/h,—,1008 hPa,71 %
2024-05-11,18,,32 °C,—,25.1 °C,0 mm,—,,11 km/h,—,1009 hPa,67 %
2024-05-11,19,,31 °C,—,26.9 °C,0 mm,—,,15 km/h,—,1009 hPa,79 %
2024-05-11,20,,31 °C,—,26.9 °C,0 mm,—,,15 km/h,—,1009 hPa,79 %
2024-05-11,21,,31 °C,—,26.9 °C,0 mm,—,,17 km/h,—,1011 hPa,79 %
2024-05-11,22,,31 °C,—,26.9 °C,0 mm,—,,13 km/h,—,1011 hPa,79 %
2024-05-11,23,,31 °C,—,26.9 °C,0 mm,—,,9 km/h,—,1011 hPa,79 %
2024-05-12,00,,31 °C,—,28 °C,0 mm,—,,11 km/h,—,1011 hPa,84 %
2024-05-12,01,,30 °C,—,28 °C,0 mm,—,,11 km/h,—,1010 hPa,89 %
